id_inner,i_ID,shop,description,part#,price,qty,type,unitPrice,warranty?,invoice,label
159199,24278,39,upstream 02 sensor,,60.0,1.0,Part,60.0,no,,5
433865,32406,44,install dual pipes,,280.0,3.5,Labor,80.0,no,,9
174142,39221,39,cqs 18 818285 front struts,,396.0,2.0,Part,198.0,no,,1
577671,7400,47,oil change / mount 4 tires & ballance,,120.0,1.0,Labor,120.0,no,,"2,8"
302791,24922,42,labor on racks & pinion,,240.0,3.2,Labor,75.0,no,,9
74873,5284,37,igntion switch,,75.0,1.0,Labor,75.0,no,,6
101231,2010,38,passanger break caliper,,41.38,1.0,Part,41.38,no,,8
971976,5916,365,engine coolant thermostat ign coil oxigen sensor,,200.0,1.0,Labor,200.0,no,,2
270722,92853,41,synthetic oil5w20  no warranty,,43.75,1.0,Part,43.75,no,,2
39626,6539,36,front alignment and 2 tires mount,,80.0,1.0,Labor,80.0,no,,"1,8"
668667,9612,49,labor left front hub bearing,,130.0,1.0,Labor,130.0,no,,1
182480,4611,41,exhaust y pie 2 donut gasket labor only,,80.0,1.0,Labor,80.0,no,,1
446768,45309,44,canister control valve,,85.0,1.0,Part,85.0,no,,5
256194,78325,41,dg465a front brake pads,,45.0,1.0,Part,45.0,no,,8
336790,58921,42,starter part 6449ms serial 762405272849 manf   tyc (wes),,142.0,1.0,Part,142.0,no,,6
391534,42683,43,labor on 2 spark plug,,60.0,1.0,Labor,60.0,no,,2
153561,18640,39,front brake caliper (left side),,60.0,1.0,Part,60.0,no,,8
935217,23367,257,rear wiper 60101 s 027998403811,,15.0,1.0,Part,15.0,no,,9
357785,8934,43,valve cover gasket fuel filter ignition coils  coils 2 serpentine belts,,504.0,1.12,Labor,450.0,no,,2
929212,17362,257,replace new  flow master & replace new y  pipe,,123.25,1.45,Labor,85.0,no,,1
374865,26014,43,1 a/f sensor bank 1 sensor 1,,176.0,1.0,Part,176.0,no,,5
773051,28551,72,7397tr5ix spark plug,,120.0,8.0,Part,15.0,no,,2
471525,19056,45,removal & replacement of brake pads  rotors  & caliper,,124.5,1.66,Labor,75.0,no,,8
111120,11899,38,ft  & rear brake pads  (wag parts,,120.0,2.0,Part,60.0,no,,8
351319,2468,43,labor 2 front headlight assenbly,,30.0,1.0,Labor,30.0,no,,4
199272,21403,41,misfire 6 ignition coil 1yearwarranty,,55.37,1.0,Part,55.37,no,,2
338688,60819,42,labor on exhast pipes for y pipe,,149.6,1.76,Labor,85.0,no,,1
13060,13060,15,rear p/s hub bearing  ad,,89.06,1.0,Part,89.06,no,,1
111118,11897,38,lower ball joints  (moog),,184.0,2.0,Part,92.0,no,,1
316096,38227,42,labor on front brake pads  oil change & spark plugs (4),,120.0,1.6,Labor,75.0,no,,2
152636,17715,39,r & r front pads under warranty 05/10/17,,80.0,1.0,Labor,80.0,no,,8
443733,42274,44,install feont left and right brake pads,,85.0,1.0,Labor,85.0,no,,8
127196,27975,38,valve cover gasket kit   vs50504r,,30.0,1.0,Part,30.0,no,,2
405675,4216,44,a/c conpressor,,160.0,1.0,Part,160.0,no,,7
913365,1515,257,exhaust engine valves on cylinder 1/2 &4,,119.94,6.0,Part,19.99,no,,1
307170,29301,42,replaced resonator  exhaust pipe & oil change,,94.5,1.26,Labor,75.0,no,,"1,2"
555950,51913,46,labor on exhaust gasket from flex pipes to exhaust pipes,,100.0,1.25,Labor,80.0,no,,1
487480,35011,45,3167 engine mount,,55.99,1.0,Part,55.99,no,,1
486779,34310,45,front right head lights  right side turn signal light  and low beam lights top antifreeze,,75.0,1.0,Labor,75.0,no,,4
370225,21374,43,1 water pump kit,,195.79,1.0,Part,195.79,no,,9
276994,99125,41,catalytic  universal,,540.05,1.0,Part,540.05,no,,1
882967,13000,78,labor on brake pads rotor bleed system,,240.37,1.0,Labor,240.37,no,,8
32486,32486,15,front brake rotors  34730,,140.0,2.0,Part,70.0,no,,8
662913,3858,49,front rotors and oil change and filter,,170.0,1.0,Labor,170.0,no,,2
575558,5287,47,a/c charge system,,80.0,1.0,Labor,80.0,no,,7
149344,14423,39,r & r pigtail hoodlight passenger side,,50.0,1.0,Labor,50.0,no,,4
35358,2271,36,o2 sensor downstream,,57.21,1.0,Part,57.21,no,,5
94895,25306,37,exhaust system  r&r,,467.5,5.5,Labor,85.0,no,,1
27826,27826,15,pag line oil lube,,16.0,1.0,Part,16.0,no,,9
539,539,15,transmission filter w / seal,,19.22,1.0,Part,19.22,no,,9
189261,11392,41,rezonator 2 hangers 1yearwarranty,,20.0,1.0,Part,20.0,no,,1
535628,31591,46,p 19b1591  19b1590  2 front brake calipers,,100.7,2.0,Part,50.35,no,,8
7588,7588,15,heat shield reattachment,,20.0,1.0,Labor,20.0,no,,9
426981,25522,44,front struts customer parts,,160.0,2.0,Labor,80.0,no,,1
